,Momentum,Value,Quality,Low-Vol,Composite
RTX,0.9248298079612843,-0.5567826563231456,-0.14789132888564854,0.5496252564027055,0.19244526978879894
FDX,1.2628887190365665,-0.01350871909113165,-0.14151427615847767,-0.34006728637780914,0.19194960935228703
SO,-0.3260760955614145,-0.21216858964772692,-0.14867473601453318,1.4486829886198513,0.19044089184904417
GOOGL,1.3679586466472582,-0.5376854180166913,-0.11208309025170257,0.0129686009941955,0.18278968484326497
PEP,-0.04191189655710097,-0.23361661575042084,-0.09995511849394503,1.0761073068627005,0.17515591901530841
PFE,0.1586331411675345,0.08951115822099796,-0.15187513218310172,0.5598880502713228,0.1640393043691884
COP,0.8361979496099267,0.08087465672275965,-0.1467251205460589,-0.17895543022222915,0.14784801389109956
NEE,0.6004852539355394,-0.23351753059165492,-0.14974005101176646,0.3423884834311413,0.13990403894081482
WFC,-0.21549221699297305,0.9752444380781654,-0.14721326627598894,-0.0893187905550836,0.13080504106352994
BMY,0.17174830378407005,0.35150859534719986,-0.10505468345980969,0.0994215385963693,0.12940593856695737
LMT,0.32338337110164855,-0.24932688758536198,-0.06470031693596424,0.4996281412972887,0.12724607696940274
SYY,-0.08597870153035571,0.06516779095908638,-0.04288213165140223,0.5422123260042416,0.11962982094539254
CL,-0.8181265061049082,-0.5440003542415183,0.5730494675498088,1.0726871250208632,0.07090243305606136
PG,-0.8448403073970856,-0.07725852753044955,-0.11889784648880214,1.320781284721849,0.06994615082637792
SCHW,-0.10811301179000914,0.21273618846599038,-0.13673519592715677,0.24945577069592234,0.054335937861186706
DIS,-0.48274101465577135,0.5484012707326668,-0.14721920117848047,0.19088809548842564,0.02733228759671015
SLB,1.0824491988672067,-0.23456400521956317,-0.144189433456544,-0.6004940878274276,0.025800418090917973
HON,0.01590939894462249,-0.5809781333031063,-0.12905839955433637,0.7719949919938432,0.019466964520255765
WMT,0.2656347053624428,-0.8292458120376702,-0.13264456438485567,0.7266370377365667,0.007595341669120917
HD,-0.796708892956881,-0.17330220779363548,0.05088339281260194,0.7701734035018816,-0.037238576109008235
PLD,0.26768560460626706,-0.7140437322962488,-0.15490489990503817,0.42774750030215175,-0.04337888182321705
OXY,1.2391555648109738,-0.7790516664811951,-0.15626250884998033,-0.48083125197899806,-0.044247465624799934
MA,-0.8266682275606121,-0.4880359531919411,0.14639674606036765,0.9825892289159553,-0.04642955144405755
TGT,0.2485574015922069,0.4754301247715071,-0.1293996549638749,-0.8715966001600994,-0.06925218219006507
AXP,-0.2691229790567924,0.06966390624055657,-0.11399116585391289,0.002147600008577835,-0.07782565966539272
EA,0.4885169723728013,-1.081095786151837,-0.15018220124738696,0.42024860379391854,-0.08062810280812606
UPS,-0.484450377282009,0.33781731616225474,-0.11495113633192115,-0.08652919981054225,-0.0870283493155544
V,-0.8912470273781302,-0.34723858049232803,-0.08500658581080381,0.9700408656019145,-0.08836283201983688
TMUS,-0.799717663099648,0.11088445254728875,-0.13808983742085312,0.463978141602822,-0.09073622659259759
DVA,-0.2836067337931046,0.4578039916198722,-0.0688428788750664,-0.4976412730887738,-0.09807172353426814
AAPL,-0.040075162451605084,-0.5916392180469147,0.06049792001165728,0.13330506384931132,-0.10947784915938778
DE,0.10528086804598119,-0.5222507029652413,-0.13602894253066228,0.10984531448853772,-0.11078836574034617
GE,0.6246796167468247,-0.6318132521235718,-0.09765682750409216,-0.350188059732606,-0.11374463065336131
COST,-0.5458040794396615,-0.8936657214095182,-0.12106557259129216,1.080018705959021,-0.12012916687036271
MDLZ,-0.8305458524214544,-0.47440375447616584,-0.15121339055529384,0.9518586786681679,-0.12607607969618656
CI,-1.1436082952005817,0.9016839356225415,-0.14261074939379162,-0.1549488454338915,-0.13487098860143082
TMO,-0.2464655260530355,-0.2985080682875892,-0.144995096469772,0.11105330807893103,-0.14472884568286642
